"","Year","State","Crop","Area","Produced"
"1359",2006,"TRIPURA                       ","RICE",250942,628200
"1360",1999,"UTTAR PRADESH                 ","RICE",6085874,13246725
"1361",2000,"UTTAR PRADESH                 ","RICE",5907151,11679149
"1362",2001,"UTTAR PRADESH                 ","RICE",6071325,12855857
"1363",2002,"UTTAR PRADESH                 ","RICE",5213429,9596346
"1364",2003,"UTTAR PRADESH                 ","RICE",5727772,12494939
"1365",2004,"UTTAR PRADESH                 ","RICE",5934405,10749989
"1366",2005,"UTTAR PRADESH                 ","RICE",5571524,11119095
"1367",2006,"UTTAR PRADESH                 ","RICE",5920752,11123613
"1368",2007,"UTTAR PRADESH                 ","RICE",5709388,11780112
"1369",2008,"UTTAR PRADESH                 ","RICE",6033382,13097031
"1370",2009,"UTTAR PRADESH                 ","RICE",5172741,10776504
"1371",2010,"UTTAR PRADESH                 ","RICE",5543756,11755359
"1372",2000,"UTTARANCHAL                   ","RICE",288607,588652
"1373",2001,"UTTARANCHAL                   ","RICE",284577,579517
"1374",2002,"UTTARANCHAL                   ","RICE",275309,523175
"1375",2003,"UTTARANCHAL                   ","RICE",277326,541957
"1376",2004,"UTTARANCHAL                   ","RICE",288975,560243
"1377",2005,"UTTARANCHAL                   ","RICE",284430,569166
"1378",2006,"UTTARANCHAL                   ","RICE",283585,571336
"1379",2007,"UTTARANCHAL                   ","RICE",272169,565067
"1380",2008,"UTTARANCHAL                   ","RICE",288365,568321
"1381",2009,"UTTARANCHAL                   ","RICE",284383,591016
"1382",1999,"WEST BENGAL                   ","RICE",6150439,13759680
"1383",2000,"WEST BENGAL                   ","RICE",5435323,12428038
"1384",2001,"WEST BENGAL                   ","RICE",5503087,13815548
"1385",2002,"WEST BENGAL                   ","RICE",5732138,14073099
"1386",2003,"WEST BENGAL                   ","RICE",5739492,14326481
"1387",2004,"WEST BENGAL                   ","RICE",5783613,14884889
"1388",2005,"WEST BENGAL                   ","RICE",5782949,14510742
"1389",2006,"WEST BENGAL                   ","RICE",5687028,14745892
"1390",2007,"WEST BENGAL                   ","RICE",5719755,14719520
"1391",2008,"WEST BENGAL                   ","RICE",5935696,15037240
"1392",2009,"WEST BENGAL                   ","RICE",5630095,14340605
"1393",1998,"ANDHRA PRADESH                ","SAMAI",28400,14300
"1394",2000,"ANDHRA PRADESH                ","SAMAI",32155,14135
"1395",2001,"ANDHRA PRADESH                ","SAMAI",30346,14953
"1396",2003,"ANDHRA PRADESH                ","SAMAI",23470,9552
"1397",1999,"TAMIL NADU                    ","SAMAI",58471,48503
"1398",2002,"TAMIL NADU                    ","SAMAI",42919,31032
"1399",1998,"ANDHRA PRADESH                ","VARAGU",1700,1500
"1400",2000,"ANDHRA PRADESH                ","VARAGU",1609,1216
"1401",2001,"ANDHRA PRADESH                ","VARAGU",807,671
"1402",2002,"ANDHRA PRADESH                ","VARAGU",2000,1000
"1403",2003,"ANDHRA PRADESH                ","VARAGU",719,385
"1404",1999,"TAMIL NADU                    ","VARAGU",19937,22576
"1405",2002,"TAMIL NADU                    ","VARAGU",14177,15789
"1406",2003,"TAMIL NADU                    ","VARAGU",4317,4957
"1407",1998,"ANDHRA PRADESH                ","WHEAT",11400,6400
"1408",1999,"ANDHRA PRADESH                ","WHEAT",13515,9056
"1409",2000,"ANDHRA PRADESH                ","WHEAT",14261,8121
"1410",2001,"ANDHRA PRADESH                ","WHEAT",13789,9486
"1411",2002,"ANDHRA PRADESH                ","WHEAT",11000,14000
"1412",2003,"ANDHRA PRADESH                ","WHEAT",12000,7000
"1413",2004,"ANDHRA PRADESH                ","WHEAT",9171,4605
"1414",2005,"ANDHRA PRADESH                ","WHEAT",11109,8891
"1415",2007,"ANDHRA PRADESH                ","WHEAT",8000,8000
"1416",2008,"ANDHRA PRADESH                ","WHEAT",13687,15421
"1417",2009,"ANDHRA PRADESH                ","WHEAT",9872,10319
"1418",1998,"ARUNACHAL PRADESH             ","WHEAT",3660,4395
"1419",1999,"ARUNACHAL PRADESH             ","WHEAT",3896,5069
"1420",2000,"ARUNACHAL PRADESH             ","WHEAT",4397,6226
"1421",2001,"ARUNACHAL PRADESH             ","WHEAT",3805,5341
"1422",2002,"ARUNACHAL PRADESH             ","WHEAT",3929,5979
"1423",2003,"ARUNACHAL PRADESH             ","WHEAT",4150,6320
"1424",2004,"ARUNACHAL PRADESH             ","WHEAT",4278,6652
"1425",2005,"ARUNACHAL PRADESH             ","WHEAT",3976,6140
"1426",2006,"ARUNACHAL PRADESH             ","WHEAT",3979,6301
"1427",2007,"ARUNACHAL PRADESH             ","WHEAT",3558,5294
"1428",2008,"ARUNACHAL PRADESH             ","WHEAT",3278,5169
"1429",2009,"ARUNACHAL PRADESH             ","WHEAT",3170,4770
"1430",2010,"ARUNACHAL PRADESH             ","WHEAT",3699,5872
"1431",1998,"ASSAM                         ","WHEAT",89591,90509
"1432",1999,"ASSAM                         ","WHEAT",76310,97583
"1433",2000,"ASSAM                         ","WHEAT",70301,85695
"1434",2001,"ASSAM                         ","WHEAT",72245,85300
"1435",2002,"ASSAM                         ","WHEAT",69061,77952
"1436",2003,"ASSAM                         ","WHEAT",69954,73186
"1437",2004,"ASSAM                         ","WHEAT",63854,68083
"1438",2005,"ASSAM                         ","WHEAT",49957,53731
"1439",2006,"ASSAM                         ","WHEAT",59573,67413
"1440",2007,"ASSAM                         ","WHEAT",56069,70797
"1441",2008,"ASSAM                         ","WHEAT",50053,54551
"1442",2009,"ASSAM                         ","WHEAT",60067,65301
"1443",2010,"ASSAM                         ","WHEAT",44772,56216
"1444",1998,"BIHAR                         ","WHEAT",2121335,4403655
"1445",1999,"BIHAR                         ","WHEAT",2080847,4583515
"1446",2000,"BIHAR                         ","WHEAT",2067333,4437958
"1447",2001,"BIHAR                         ","WHEAT",2181543,4499130
"1448",2002,"BIHAR                         ","WHEAT",2130933,4040610
"1449",2003,"BIHAR                         ","WHEAT",2076839,3688941
"1450",2004,"BIHAR                         ","WHEAT",2027643,3263385
"1451",2005,"BIHAR                         ","WHEAT",2001771,2821120
"1452",2006,"BIHAR                         ","WHEAT",2076727,4155541
"1453",2007,"BIHAR                         ","WHEAT",2131232,4977463
"1454",2008,"BIHAR                         ","WHEAT",2158345,4413017
"1455",1998,"CHANDIGARH                    ","WHEAT",880,3960
"1456",1999,"CHANDIGARH                    ","WHEAT",800,3600
"1457",2000,"CHANDIGARH                    ","WHEAT",750,3375
"1458",2001,"CHANDIGARH                    ","WHEAT",750,3350
"1459",2002,"CHANDIGARH                    ","WHEAT",700,3315
"1460",2003,"CHANDIGARH                    ","WHEAT",650,3000
"1461",2004,"CHANDIGARH                    ","WHEAT",600,2400
"1462",2005,"CHANDIGARH                    ","WHEAT",600,2750
"1463",2006,"CHANDIGARH                    ","WHEAT",600,2800
"1464",2007,"CHANDIGARH                    ","WHEAT",600,2800
"1465",2008,"CHANDIGARH                    ","WHEAT",600,2700
"1466",2009,"CHANDIGARH                    ","WHEAT",600,2700
"1467",2010,"CHANDIGARH                    ","WHEAT",600,2715
"1468",2000,"CHHATTISGARH                  ","WHEAT",77844,79488
"1469",2001,"CHHATTISGARH                  ","WHEAT",97861,103480
"1470",2002,"CHHATTISGARH                  ","WHEAT",93846,98592
"1471",2003,"CHHATTISGARH                  ","WHEAT",106109,113138
"1472",2004,"CHHATTISGARH                  ","WHEAT",99245,85215
"1473",2005,"CHHATTISGARH                  ","WHEAT",97074,85191
"1474",2006,"CHHATTISGARH                  ","WHEAT",93201,93952
"1475",2007,"CHHATTISGARH                  ","WHEAT",95006,104524
"1476",2008,"CHHATTISGARH                  ","WHEAT",94821,97410
"1477",2009,"CHHATTISGARH                  ","WHEAT",109151,118901
"1478",2010,"CHHATTISGARH                  ","WHEAT",103684,121712
"1479",1999,"D & N HAVELI                  ","WHEAT",715,1236
"1480",2000,"D & N HAVELI                  ","WHEAT",710,1500
"1481",2001,"D & N HAVELI                  ","WHEAT",735,1441
"1482",2002,"D & N HAVELI                  ","WHEAT",750,1470
"1483",2003,"D & N HAVELI                  ","WHEAT",750,1470
"1484",2004,"D & N HAVELI                  ","WHEAT",750,1470
"1485",2005,"D & N HAVELI                  ","WHEAT",750,1500
"1486",1998,"DELHI                         ","WHEAT",31037,107729
"1487",1999,"DELHI                         ","WHEAT",33505,122058
"1488",2000,"DELHI                         ","WHEAT",27836,97927
"1489",2001,"DELHI                         ","WHEAT",26114,91660
"1490",2002,"DELHI                         ","WHEAT",19860,79718
"1491",2003,"DELHI                         ","WHEAT",18973,82893
"1492",2004,"DELHI                         ","WHEAT",18695,80800
"1493",2005,"DELHI                         ","WHEAT",18279,79404
"1494",2006,"DELHI                         ","WHEAT",17884,77885
"1495",2007,"DELHI                         ","WHEAT",17482,76222
"1496",1998,"GUJARAT                       ","WHEAT",705400,1702600
"1497",1999,"GUJARAT                       ","WHEAT",482100,1020000
"1498",2000,"GUJARAT                       ","WHEAT",286100,649000
"1499",2001,"GUJARAT                       ","WHEAT",470100,1144700
"1500",2002,"GUJARAT                       ","WHEAT",435600,856600
"1501",2003,"GUJARAT                       ","WHEAT",759500,2036500
"1502",2004,"GUJARAT                       ","WHEAT",727400,1805500
"1503",2005,"GUJARAT                       ","WHEAT",858800,2319200
"1504",2006,"GUJARAT                       ","WHEAT",1072300,2791500
"1505",2007,"GUJARAT                       ","WHEAT",1273900,3837700
"1506",2008,"GUJARAT                       ","WHEAT",1091400,2592600
"1507",2009,"GUJARAT                       ","WHEAT",878000,2351300
"1508",2010,"GUJARAT                       ","WHEAT",1588600,5013400
"1509",1998,"HARYANA                       ","WHEAT",2185662,8527000
"1510",1999,"HARYANA                       ","WHEAT",2316531,9650000
"1511",2000,"HARYANA                       ","WHEAT",2354779,9669000
"1512",2001,"HARYANA                       ","WHEAT",2299876,9437000
"1513",2002,"HARYANA                       ","WHEAT",2267140,9188000
"1514",2003,"HARYANA                       ","WHEAT",2315496,9114000
"1515",2004,"HARYANA                       ","WHEAT",2316674,9043000
"1516",2005,"HARYANA                       ","WHEAT",2302682,8502000
"1517",2006,"HARYANA                       ","WHEAT",2377067,10059000
"1518",2007,"HARYANA                       ","WHEAT",2460680,10232000
"1519",2008,"HARYANA                       ","WHEAT",2461420,11360000
"1520",2009,"HARYANA                       ","WHEAT",2487756,10488000
"1521",1998,"HIMACHAL PRADESH              ","WHEAT",379718,481267
"1522",1999,"HIMACHAL PRADESH              ","WHEAT",370587,583300
"1523",2000,"HIMACHAL PRADESH              ","WHEAT",362660,261319
"1524",2001,"HIMACHAL PRADESH              ","WHEAT",366518,637068
"1525",2002,"HIMACHAL PRADESH              ","WHEAT",359439,495558
"1526",2003,"HIMACHAL PRADESH              ","WHEAT",365359,496930
"1527",2004,"HIMACHAL PRADESH              ","WHEAT",367770,687452
"1528",2005,"HIMACHAL PRADESH              ","WHEAT",358453,365885
"1529",2006,"HIMACHAL PRADESH              ","WHEAT",362245,596493
"1530",2007,"HIMACHAL PRADESH              ","WHEAT",366592,504360
"1531",2008,"HIMACHAL PRADESH              ","WHEAT",359961,381180
"1532",2000,"JAMMU & KASHMIR               ","WHEAT",280968,148710
"1533",2001,"JAMMU & KASHMIR               ","WHEAT",259605,342980
"1534",2002,"JAMMU & KASHMIR               ","WHEAT",248168,405490
"1535",2003,"JAMMU & KASHMIR               ","WHEAT",254657,459380
"1536",2004,"JAMMU & KASHMIR               ","WHEAT",252987,478255
"1537",2007,"JAMMU & KASHMIR               ","WHEAT",225326,423460
"1538",2002,"JHARKHAND                     ","WHEAT",57203.69,78366.24
"1539",2003,"JHARKHAND                     ","WHEAT",60269.7,80181.21
"1540",2004,"JHARKHAND                     ","WHEAT",57905.58,72740.85
"1541",2005,"JHARKHAND                     ","WHEAT",50326.23,51264
"1542",2006,"JHARKHAND                     ","WHEAT",124418.04,163905
"1543",2007,"JHARKHAND                     ","WHEAT",54845.72,68534
"1544",1998,"KARNATAKA                     ","WHEAT",268981,219433
"1545",1999,"KARNATAKA                     ","WHEAT",261275,217613
"1546",2000,"KARNATAKA                     ","WHEAT",266310,249880
"1547",2001,"KARNATAKA                     ","WHEAT",260486,198822
"1548",2002,"KARNATAKA                     ","WHEAT",246855,147748
"1549",2003,"KARNATAKA                     ","WHEAT",231994,96150
"1550",2004,"KARNATAKA                     ","WHEAT",241991,206296
"1551",2005,"KARNATAKA                     ","WHEAT",252588,226369
"1552",2006,"KARNATAKA                     ","WHEAT",269494,223806
"1553",2007,"KARNATAKA                     ","WHEAT",275583,280384
"1554",2008,"KARNATAKA                     ","WHEAT",268600,257181
"1555",2009,"KARNATAKA                     ","WHEAT",283427,263877
"1556",1999,"MADHYA PRADESH                ","WHEAT",4661524,8685197
"1557",2000,"MADHYA PRADESH                ","WHEAT",3299120,4861992
"1558",2001,"MADHYA PRADESH                ","WHEAT",3691707,5993596
"1559",2002,"MADHYA PRADESH                ","WHEAT",3369481,4916044
"1560",2003,"MADHYA PRADESH                ","WHEAT",4078974,7357255
"1561",2004,"MADHYA PRADESH                ","WHEAT",4188248,7320042
"1562",2005,"MADHYA PRADESH                ","WHEAT",3772615,6192368
"1563",2007,"MADHYA PRADESH                ","WHEAT",4089343,6729363
"1564",2008,"MADHYA PRADESH                ","WHEAT",3951383,7218045
"1565",1999,"MAHARASHTRA                   ","WHEAT",1041800,1425900
"1566",2000,"MAHARASHTRA                   ","WHEAT",754200,947600
"1567",2001,"MAHARASHTRA                   ","WHEAT",776000,1077400
"1568",2002,"MAHARASHTRA                   ","WHEAT",759800,983900
"1569",2003,"MAHARASHTRA                   ","WHEAT",664700,778200
"1570",2004,"MAHARASHTRA                   ","WHEAT",755700,1016300
"1571",2005,"MAHARASHTRA                   ","WHEAT",932800,1300700
"1572",2006,"MAHARASHTRA                   ","WHEAT",1230800,1871000
"1573",2007,"MAHARASHTRA                   ","WHEAT",10030,19875
"1574",2008,"MAHARASHTRA                   ","WHEAT",1021800,1517300
"1575",2009,"MAHARASHTRA                   ","WHEAT",1080900,1740200
"1576",2010,"MAHARASHTRA                   ","WHEAT",1306600,2300800
"1577",1998,"MEGHALYA                      ","WHEAT",4287,6998
"1578",2000,"MEGHALYA                      ","WHEAT",4215,6892
"1579",2001,"MEGHALYA                      ","WHEAT",2753,4812
"1580",2002,"MEGHALYA                      ","WHEAT",2714,4745
"1581",2003,"MEGHALYA                      ","WHEAT",862,1540
"1582",2004,"MEGHALYA                      ","WHEAT",1564,863
"1583",2005,"MEGHALYA                      ","WHEAT",670,1198
"1584",2007,"MEGHALYA                      ","WHEAT",622,1120
"1585",2008,"MEGHALYA                      ","WHEAT",416,739
"1586",2009,"MEGHALYA                      ","WHEAT",405,718
"1587",1998,"MIZORAM                       ","WHEAT",55,48
"1588",1999,"MIZORAM                       ","WHEAT",43,38
"1589",2004,"MIZORAM                       ","WHEAT",3,4
"1590",2000,"NAGALAND                      ","WHEAT",5000,10000
"1591",2001,"NAGALAND                      ","WHEAT",6000,12350
"1592",2002,"NAGALAND                      ","WHEAT",7650,15820
"1593",2003,"NAGALAND                      ","WHEAT",10000,19500
"1594",2004,"NAGALAND                      ","WHEAT",8200,13000
"1595",2005,"NAGALAND                      ","WHEAT",1200,1920
"1596",2006,"NAGALAND                      ","WHEAT",1500,1250
"1597",2007,"NAGALAND                      ","WHEAT",1150,1800
"1598",2008,"NAGALAND                      ","WHEAT",1260,1890
"1599",2010,"NAGALAND                      ","WHEAT",2800,4770
"1600",1998,"ORISSA                        ","WHEAT",3868,4441
"1601",1999,"ORISSA                        ","WHEAT",5922,7676.1
"1602",2000,"ORISSA                        ","WHEAT",8819,12902.9
"1603",2001,"ORISSA                        ","WHEAT",6976,10566.9
"1604",2002,"ORISSA                        ","WHEAT",4627,5768.1
"1605",2003,"ORISSA                        ","WHEAT",5129,7515.6
"1606",2004,"ORISSA                        ","WHEAT",4054,5312.5
"1607",2005,"ORISSA                        ","WHEAT",6552,8968.6
"1608",2006,"ORISSA                        ","WHEAT",3913,5802.3
"1609",2007,"ORISSA                        ","WHEAT",5548,8722.5
"1610",2008,"ORISSA                        ","WHEAT",5267,7385
"1611",2009,"ORISSA                        ","WHEAT",3994,5782.4
"1612",1998,"PUNJAB                        ","WHEAT",3338000,14460000
"1613",1999,"PUNJAB                        ","WHEAT",3388000,15910000
"1614",2000,"PUNJAB                        ","WHEAT",3408000,15551000
"1615",2001,"PUNJAB                        ","WHEAT",3420000,15499000
"1616",2002,"PUNJAB                        ","WHEAT",3375000,14175000
"1617",2003,"PUNJAB                        ","WHEAT",3444000,14489000
"1618",2004,"PUNJAB                        ","WHEAT",3482000,14698000
"1619",2005,"PUNJAB                        ","WHEAT",3468000,14493000
"1620",2006,"PUNJAB                        ","WHEAT",3234000,13645000
"1621",2007,"PUNJAB                        ","WHEAT",3143000,14175000
"1622",2008,"PUNJAB                        ","WHEAT",3117000,14115000
"1623",2009,"PUNJAB                        ","WHEAT",3169000,13640000
"1624",2010,"PUNJAB                        ","WHEAT",3156000,14823000
"1625",1999,"RAJASTHAN                     ","WHEAT",2650187,6731931
"1626",2000,"RAJASTHAN                     ","WHEAT",2309637,5547100
"1627",2001,"RAJASTHAN                     ","WHEAT",2287498,6389030
"1628",2002,"RAJASTHAN                     ","WHEAT",1800659,4878020
"1629",2003,"RAJASTHAN                     ","WHEAT",2103059,5875862
"1630",2004,"RAJASTHAN                     ","WHEAT",2010241,5706871
"1631",2005,"RAJASTHAN                     ","WHEAT",2123910,5865293
"1632",2006,"RAJASTHAN                     ","WHEAT",2564840,7755883
"1633",2007,"RAJASTHAN                     ","WHEAT",2592188,7126040
"1634",2008,"RAJASTHAN                     ","WHEAT",2250248,7170445
"1635",2009,"RAJASTHAN                     ","WHEAT",2346515,7342756
"1636",1998,"SIKKIM                        ","WHEAT",7941,6416
"1637",1999,"SIKKIM                        ","WHEAT",8100,12849
"1638",2000,"SIKKIM                        ","WHEAT",7215,10103
"1639",2001,"SIKKIM                        ","WHEAT",8710,10485
"1640",2002,"SIKKIM                        ","WHEAT",8330,10400
"1641",2003,"SIKKIM                        ","WHEAT",6805,8686
"1642",2004,"SIKKIM                        ","WHEAT",5740,8250
"1643",2005,"SIKKIM                        ","WHEAT",5740,9200
"1644",2006,"SIKKIM                        ","WHEAT",6380,10360
"1645",2007,"SIKKIM                        ","WHEAT",4460,4460
"1646",2008,"SIKKIM                        ","WHEAT",3900,3500
"1647",2009,"SIKKIM                        ","WHEAT",5200,4720
"1648",2010,"SIKKIM                        ","WHEAT",2650,2710
"1649",1998,"TAMIL NADU                    ","WHEAT",700,34
"1650",1999,"TAMIL NADU                    ","WHEAT",34,16
"1651",2000,"TAMIL NADU                    ","WHEAT",124,60
"1652",2002,"TAMIL NADU                    ","WHEAT",17,0
"1653",1999,"TRIPURA                       ","WHEAT",1250,2400
"1654",2000,"TRIPURA                       ","WHEAT",1065,2230
"1655",2001,"TRIPURA                       ","WHEAT",1220,2455
"1656",2002,"TRIPURA                       ","WHEAT",919,1827
"1657",2003,"TRIPURA                       ","WHEAT",895,1810
"1658",2006,"TRIPURA                       ","WHEAT",970,1845
"1659",1999,"UTTAR PRADESH                 ","WHEAT",9381878,26050768
"1660",2000,"UTTAR PRADESH                 ","WHEAT",9239311,25168332
"1661",2001,"UTTAR PRADESH                 ","WHEAT",9255937,25498002
"1662",2002,"UTTAR PRADESH                 ","WHEAT",9162749,23745162
"1663",2003,"UTTAR PRADESH                 ","WHEAT",9443104,26349910
"1664",2004,"UTTAR PRADESH                 ","WHEAT",9373402,23430044
"1665",2005,"UTTAR PRADESH                 ","WHEAT",9163949,23573776
"1666",2006,"UTTAR PRADESH                 ","WHEAT",9197642,25443428
"1667",2007,"UTTAR PRADESH                 ","WHEAT",9114880,25679089
"1668",2008,"UTTAR PRADESH                 ","WHEAT",9513039,28554178
"1669",2009,"UTTAR PRADESH                 ","WHEAT",9668152,27518022
"1670",2010,"UTTAR PRADESH                 ","WHEAT",9553436,29768523
"1671",2000,"UTTARANCHAL                   ","WHEAT",377340,711036
"1672",2001,"UTTARANCHAL                   ","WHEAT",375967,721618
"1673",2002,"UTTARANCHAL                   ","WHEAT",374802,721653
"1674",2003,"UTTARANCHAL                   ","WHEAT",383387,729653
"1675",2004,"UTTARANCHAL                   ","WHEAT",387103,799221
"1676",2005,"UTTARANCHAL                   ","WHEAT",379237,642216
"1677",2006,"UTTARANCHAL                   ","WHEAT",377870,796548
"1678",2007,"UTTARANCHAL                   ","WHEAT",372919,798233
"1679",2008,"UTTARANCHAL                   ","WHEAT",379081,770934
"1680",2009,"UTTARANCHAL                   ","WHEAT",372846,829319
"1681",1999,"WEST BENGAL                   ","WHEAT",364155,850778
"1682",2000,"WEST BENGAL                   ","WHEAT",426000,1057610
"1683",2001,"WEST BENGAL                   ","WHEAT",450399,963599
"1684",2002,"WEST BENGAL                   ","WHEAT",416697,904839
"1685",2003,"WEST BENGAL                   ","WHEAT",437854,1007811
"1686",2004,"WEST BENGAL                   ","WHEAT",400093,841471
"1687",2005,"WEST BENGAL                   ","WHEAT",366729,773514
"1688",2006,"WEST BENGAL                   ","WHEAT",350621,799876
"1689",2007,"WEST BENGAL                   ","WHEAT",352579,917284
"1690",2008,"WEST BENGAL                   ","WHEAT",306985,764528
"1691",2009,"WEST BENGAL                   ","WHEAT",315888,846657
